date,value
2023-01-01 00:00:00,-27.913446206519076
2023-01-01 01:00:00,-26.742890713813026
2023-01-01 02:00:00,-27.835390358473344
2023-01-01 03:00:00,-27.631919094358853
2023-01-01 04:00:00,-27.03007323770513
2023-01-01 05:00:00,-28.13286539562549
2023-01-01 06:00:00,-27.60361408188417
2023-01-01 07:00:00,-28.379745271558633
2023-01-01 08:00:00,-28.04796721737898
2023-01-01 09:00:00,-30.856253790670852
2023-01-01 10:00:00,-30.882602611340698
2023-01-01 11:00:00,-31.636455577764558
2023-01-01 12:00:00,-30.091723986734902
2023-01-01 13:00:00,-31.176089306254564
2023-01-01 14:00:00,-30.295671900163548
2023-01-01 15:00:00,-31.16715470370233
2023-01-01 16:00:00,-31.630725118498372
2023-01-01 17:00:00,-29.879584312846355
2023-01-01 18:00:00,-31.694020051507326
2023-01-01 19:00:00,-32.59581085029005
2023-01-01 20:00:00,-33.82030613511288
2023-01-01 21:00:00,-31.910908573432547
2023-01-01 22:00:00,-32.41260082715408
2023-01-01 23:00:00,-34.71476656331092
2023-01-02 00:00:00,-34.03327270703715
2023-01-02 01:00:00,-33.90898981466266
2023-01-02 02:00:00,-36.043024312619366
2023-01-02 03:00:00,-34.93743281467348
2023-01-02 04:00:00,-33.51369868690135
2023-01-02 05:00:00,-36.779942641475444
2023-01-02 06:00:00,-34.92410661604958
2023-01-02 07:00:00,-33.770613723702056
2023-01-02 08:00:00,-36.53093447479036
2023-01-02 09:00:00,-36.60851502098997
2023-01-02 10:00:00,-36.180315675372306
2023-01-02 11:00:00,-36.124627883006376
2023-01-02 12:00:00,-36.48107749431611
2023-01-02 13:00:00,-38.62868675992529
2023-01-02 14:00:00,-38.115547333486774
2023-01-02 15:00:00,-37.4840524387499
2023-01-02 16:00:00,-38.13452253644574
2023-01-02 17:00:00,-36.908971772058486
2023-01-02 18:00:00,-38.597579170333645
2023-01-02 19:00:00,-38.87181334624265
2023-01-02 20:00:00,-36.87640623417393
2023-01-02 21:00:00,-39.03006047849855
2023-01-02 22:00:00,-40.14913086110673
2023-01-02 23:00:00,-39.389739692178914
2023-01-03 00:00:00,-39.83630626924142
2023-01-03 01:00:00,-39.10746014048821
2023-01-03 02:00:00,-39.57784496710559
2023-01-03 03:00:00,-40.57425150590673
2023-01-03 04:00:00,-40.83459856916457
2023-01-03 05:00:00,-41.18701604662932
2023-01-03 06:00:00,-39.51090269804359
2023-01-03 07:00:00,-39.04847002372609
2023-01-03 08:00:00,-41.32165739277157
2023-01-03 09:00:00,-40.897846877874876
2023-01-03 10:00:00,-41.2992771426886
2023-01-03 11:00:00,-42.365005125204185
2023-01-03 12:00:00,-42.56834747226888
2023-01-03 13:00:00,-42.71660095019034
2023-01-03 14:00:00,-44.34732883286177
2023-01-03 15:00:00,-43.366446657820866
2023-01-03 16:00:00,-42.339211371786774
2023-01-03 17:00:00,-42.05191301322479
2023-01-03 18:00:00,-43.36102832348418
2023-01-03 19:00:00,-43.70686781602703
2023-01-03 20:00:00,-42.86617203595775
2023-01-03 21:00:00,-41.62530111887889
2023-01-03 22:00:00,-44.77808949335977
2023-01-03 23:00:00,-44.79298726306252
2023-01-04 00:00:00,-44.62185049064841
2023-01-04 01:00:00,-43.80096047517336
2023-01-04 02:00:00,-45.36498384487564
2023-01-04 03:00:00,-44.20492510520191
2023-01-04 04:00:00,-45.549097048665764
2023-01-04 05:00:00,-44.42111422360337
2023-01-04 06:00:00,-45.451269072314034
2023-01-04 07:00:00,-45.71709202423227
2023-01-04 08:00:00,-44.62072480498138
2023-01-04 09:00:00,-46.76739831489397
2023-01-04 10:00:00,-46.4945924417138
2023-01-04 11:00:00,-45.13850534184432
2023-01-04 12:00:00,-45.2411775639103
2023-01-04 13:00:00,-45.93641181613293
2023-01-04 14:00:00,-48.46614901597204
2023-01-04 15:00:00,-45.689582451382655
2023-01-04 16:00:00,-46.192995964858454
2023-01-04 17:00:00,-47.0082426531284
2023-01-04 18:00:00,-48.740565333463415
2023-01-04 19:00:00,-46.08748539802282
2023-01-04 20:00:00,-45.2900256753271
2023-01-04 21:00:00,-46.65666055720143
2023-01-04 22:00:00,-45.94365938079444
2023-01-04 23:00:00,-48.045314295839646
2023-01-05 00:00:00,-47.31430839610911
2023-01-05 01:00:00,-48.25939917970922
2023-01-05 02:00:00,-48.8355635216473
2023-01-05 03:00:00,-48.165997660351465
2023-01-05 04:00:00,-48.83268494619968
2023-01-05 05:00:00,-48.767034694455816
2023-01-05 06:00:00,-48.889032266783644
2023-01-05 07:00:00,-48.626781922118965
2023-01-05 08:00:00,-48.59699951317072
2023-01-05 09:00:00,-48.26836613926326
2023-01-05 10:00:00,-49.73001215378308
2023-01-05 11:00:00,-48.2506241385536
2023-01-05 12:00:00,-50.46891336591209
2023-01-05 13:00:00,-48.67507021722086
2023-01-05 14:00:00,-48.727736303597034
2023-01-05 15:00:00,-51.20385586160096
2023-01-05 16:00:00,-49.29809726682808
2023-01-05 17:00:00,-47.93765610665103
2023-01-05 18:00:00,-48.64505197719284
2023-01-05 19:00:00,-49.65551416355002
2023-01-05 20:00:00,-49.77097276534387
2023-01-05 21:00:00,-48.99309503795628
2023-01-05 22:00:00,-49.18918440730788
2023-01-05 23:00:00,-48.581890015237114
2023-01-06 00:00:00,-49.3087825669343
2023-01-06 01:00:00,-48.598243245562664
2023-01-06 02:00:00,-49.15114862297341
2023-01-06 03:00:00,-50.362352368873765
2023-01-06 04:00:00,-50.65822305061179
2023-01-06 05:00:00,-50.209197041250185
2023-01-06 06:00:00,-49.312058068434446
2023-01-06 07:00:00,-50.624545699774785
2023-01-06 08:00:00,-48.898499335338805
2023-01-06 09:00:00,-51.360422011016766
2023-01-06 10:00:00,-50.11418491618869
2023-01-06 11:00:00,-50.80839018101199
2023-01-06 12:00:00,-49.58675810821653
2023-01-06 13:00:00,-49.78396373388965
2023-01-06 14:00:00,-50.09108174401769
2023-01-06 15:00:00,-51.19235608761937
2023-01-06 16:00:00,-50.851654144918655
2023-01-06 17:00:00,-50.64094947107678
2023-01-06 18:00:00,-48.99602836175995
2023-01-06 19:00:00,-50.63894192424074
2023-01-06 20:00:00,-49.49765111531021
2023-01-06 21:00:00,-49.08001398111508
2023-01-06 22:00:00,-50.84316215044598
2023-01-06 23:00:00,-50.51132158965409
2023-01-07 00:00:00,-52.19544540905492
2023-01-07 01:00:00,-50.382913768075305
2023-01-07 02:00:00,-49.255173132305224
2023-01-07 03:00:00,-50.90135667835378
2023-01-07 04:00:00,-49.58708892696191
2023-01-07 05:00:00,-49.13111959944049
2023-01-07 06:00:00,-49.53840823339967
2023-01-07 07:00:00,-50.31290278034868
2023-01-07 08:00:00,-49.62014002416448
2023-01-07 09:00:00,-50.49513804334933
2023-01-07 10:00:00,-50.20782636836504
2023-01-07 11:00:00,-47.36814016590648
2023-01-07 12:00:00,-50.227067658421355
2023-01-07 13:00:00,-50.36631966533573
2023-01-07 14:00:00,-49.48406070310645
2023-01-07 15:00:00,-49.31753353528517
2023-01-07 16:00:00,-48.79459657005195
2023-01-07 17:00:00,-50.26064703741724
2023-01-07 18:00:00,-50.504411328696705
2023-01-07 19:00:00,-50.37397880690565
2023-01-07 20:00:00,-48.592970280493184
2023-01-07 21:00:00,-48.20626163025451
2023-01-07 22:00:00,-49.97856368469584
2023-01-07 23:00:00,-49.66860139026739
2023-01-08 00:00:00,-49.117657798025824
2023-01-08 01:00:00,-49.98284034785347
2023-01-08 02:00:00,-49.4511153990018
2023-01-08 03:00:00,-47.94158559596976
2023-01-08 04:00:00,-50.02762200570957
2023-01-08 05:00:00,-48.357945304457935
2023-01-08 06:00:00,-47.46710559975749
2023-01-08 07:00:00,-49.6394056019959
2023-01-08 08:00:00,-47.38379079730833
2023-01-08 09:00:00,-48.38578597438763
2023-01-08 10:00:00,-48.83550384404256
2023-01-08 11:00:00,-47.33945458999586
2023-01-08 12:00:00,-48.0399483025343
2023-01-08 13:00:00,-48.2557079448495
2023-01-08 14:00:00,-48.49380194786762
2023-01-08 15:00:00,-48.655555142639805
2023-01-08 16:00:00,-48.26282488183763
2023-01-08 17:00:00,-47.8440867893096
2023-01-08 18:00:00,-46.73113574954487
2023-01-08 19:00:00,-47.634300585005995
2023-01-08 20:00:00,-46.97619580541268
2023-01-08 21:00:00,-47.54118773814145
2023-01-08 22:00:00,-46.557688790313144
2023-01-08 23:00:00,-46.98423821722911
2023-01-09 00:00:00,-45.519475862895575
2023-01-09 01:00:00,-46.4056103392792
2023-01-09 02:00:00,-48.199113914133065
2023-01-09 03:00:00,-46.52628117919682
2023-01-09 04:00:00,-46.713409878286114
2023-01-09 05:00:00,-45.18170610470829
2023-01-09 06:00:00,-45.97973600367491
2023-01-09 07:00:00,-44.99734998546481
2023-01-09 08:00:00,-44.974794369009565
2023-01-09 09:00:00,-46.23681337303597
2023-01-09 10:00:00,-45.73303287235452
2023-01-09 11:00:00,-45.237758423777855
2023-01-09 12:00:00,-46.1952644054593
2023-01-09 13:00:00,-41.57404086934335
2023-01-09 14:00:00,-44.29441893435156
2023-01-09 15:00:00,-45.93899299930191
2023-01-09 16:00:00,-45.91640877204621
2023-01-09 17:00:00,-44.21344393686313
2023-01-09 18:00:00,-44.560731267960186
2023-01-09 19:00:00,-45.560344175232586
2023-01-09 20:00:00,-45.561492833969055
2023-01-09 21:00:00,-43.65183886653075
2023-01-09 22:00:00,-43.96220813889462
2023-01-09 23:00:00,-42.921065576938865
2023-01-10 00:00:00,-43.26139815925778
2023-01-10 01:00:00,-41.86378633544223
2023-01-10 02:00:00,-44.613297757694404
2023-01-10 03:00:00,-41.9971955562262
2023-01-10 04:00:00,-43.226727700406464
2023-01-10 05:00:00,-43.16109667056781
2023-01-10 06:00:00,-41.07195165604339
2023-01-10 07:00:00,-43.770605915071556
2023-01-10 08:00:00,-41.73648274233673
2023-01-10 09:00:00,-41.81381556954375
2023-01-10 10:00:00,-40.05845600122649
2023-01-10 11:00:00,-42.51444349122693
2023-01-10 12:00:00,-40.500133390478
2023-01-10 13:00:00,-40.17224237474695
2023-01-10 14:00:00,-40.45748415116667
2023-01-10 15:00:00,-40.12271518344058
2023-01-10 16:00:00,-40.17551058327612
2023-01-10 17:00:00,-41.27051374732459
2023-01-10 18:00:00,-40.12587028439446
2023-01-10 19:00:00,-41.30809695543404
2023-01-10 20:00:00,-38.21716309225509
2023-01-10 21:00:00,-37.98598376161123
2023-01-10 22:00:00,-40.12533992319996
2023-01-10 23:00:00,-37.284929278225164
2023-01-11 00:00:00,-38.441635166378695
2023-01-11 01:00:00,-39.55829046037401
2023-01-11 02:00:00,-38.53698606070201
2023-01-11 03:00:00,-36.99774204785957
2023-01-11 04:00:00,-37.44220307958837
2023-01-11 05:00:00,-38.18222635287378
2023-01-11 06:00:00,-36.2097308549096
2023-01-11 07:00:00,-36.850811578711955
2023-01-11 08:00:00,-36.89852512282612
2023-01-11 09:00:00,-37.39899843070831
2023-01-11 10:00:00,-35.39455517241239
2023-01-11 11:00:00,-34.810953360984996
2023-01-11 12:00:00,-286.45733373481914
2023-01-11 13:00:00,-35.45981315928046
2023-01-11 14:00:00,-35.183550165353225
2023-01-11 15:00:00,-34.49568132684194
2023-01-11 16:00:00,-35.48451522311461
2023-01-11 17:00:00,-32.150156078179165
2023-01-11 18:00:00,-33.60659457084948
2023-01-11 19:00:00,-32.735178351065066
2023-01-11 20:00:00,-33.683805052275964
2023-01-11 21:00:00,-30.99532095814211
2023-01-11 22:00:00,-32.38112595594301
2023-01-11 23:00:00,-34.366764728628446
2023-01-12 00:00:00,-31.28971391493139
2023-01-12 01:00:00,-32.065448912976706
2023-01-12 02:00:00,-32.81051243007036
2023-01-12 03:00:00,-31.5291265506646
2023-01-12 04:00:00,-32.09879422053603
2023-01-12 05:00:00,-30.215203687126674
2023-01-12 06:00:00,-30.031090540084907
2023-01-12 07:00:00,-31.75340574543972
2023-01-12 08:00:00,-29.419897962270447
2023-01-12 09:00:00,-28.749582912432498
2023-01-12 10:00:00,-32.00719764645359
2023-01-12 11:00:00,-27.921312494331623
2023-01-12 12:00:00,-28.277534899750876
2023-01-12 13:00:00,-27.827290539861387
2023-01-12 14:00:00,-26.93293217103267
2023-01-12 15:00:00,-28.11683761074845
